Id,Universitas,Rank Universitas (Indonesia),Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses,Provinsi
"40,Institut Teknologi Bandung,141,Desain Interior,15,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"41,Institut Teknologi Bandung,141,Desain Komunikasi Visual,20,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"42,Institut Teknologi Bandung,141,Perencanaan kota dan wilayah,10,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"43,Institut Teknologi Bandung,141,Arsitektur,20,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"44,Institut Teknologi Bandung,141,Fisika,5,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"45,Institut Teknologi Bandung,141,Biologi,5,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"46,Institut Teknologi Bandung,141,Mikrobiologi,5,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"47,Institut Teknologi Bandung,141,Bioteknologi,5,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"48,Institut Teknologi Bandung,141,Teknik Metalurgi,10,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
"49,Institut Teknologi Bandung,141,Teknik Tenaga Listrik,15,,30000000,,""https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/"",5 Mei 2025,Jawa Barat"
