Id,Universitas,Rank Universitas (Indonesia),Fakultas,Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses
32,Institut Teknologi Bandung,141,,Teknik Kimia,30,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
33,Institut Teknologi Bandung,141,,Teknik Lingkungan ,20,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
34,Institut Teknologi Bandung,141,,Teknik Mesin ,60,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
35,Institut Teknologi Bandung,141,,Teknik Dirgantara ,35,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
36,Institut Teknologi Bandung,141,,Manajemen ,180,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
37,Institut Teknologi Bandung,141,,Kewirausahaan ,30,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
38,Institut Teknologi Bandung,141,,Desain Produk,15,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
39,Institut Teknologi Bandung,141,,Craft,15,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
40,Institut Teknologi Bandung,141,,Desain Interior,15,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
41,Institut Teknologi Bandung,141,,Desain Komunikasi Visual,20,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
42,Institut Teknologi Bandung,141,,Perencanaan kota dan wilayah,10,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
43,Institut Teknologi Bandung,141,,Arsitektur,20,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
44,Institut Teknologi Bandung,141,,Fisika,5,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
45,Institut Teknologi Bandung,141,,Biologi,5,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
46,Institut Teknologi Bandung,141,,Mikrobiologi,5,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
47,Institut Teknologi Bandung,141,,Bioteknologi,5,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
48,Institut Teknologi Bandung,141,,Teknik Metalurgi,10,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
49,Institut Teknologi Bandung,141,,Teknik Tenaga Listrik,15,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
50,Institut Teknologi Bandung,141,,Teknik Telekomunikasi,15,,30000000,,"https://www.detik.com/jabar/jabar-gaskeun/d-7331326/rincian-biaya-kuliah-itb-2024-2025-program-sarjana#:~:text=UKT%20Program%20Sarjana%20ITB&text=Semua%20program%20studi%20Fakultas%20dan,Kelas%20Internasional%20Rp30%20juta. & https://admission.itb.ac.id/info/daya-tampung-tingkat-kesulitan-relatif/ & https://admission.itb.ac.id/info/international-undergraduate-program/",5 Mei 2025
51,Universitas Airlangga,200,Ekonomi dan Bisnis,Akuntansi,10,,20000000,25000000,https://ppmb.unair.ac.id/id/iup?menu=International-Programs,5 Mei 2025
